"","FeatureCode","DateCode","Measurement","Units","Value","Indices of Deprivation"
"87","E07000029",2019,"Rank of average rank",NA,178,"h. Living Environment Deprivation Domain"
"88","E07000027",2019,"Rank of average rank",NA,50,"h. Living Environment Deprivation Domain"
"89","E07000198",2019,"Rank of average rank",NA,149,"h. Living Environment Deprivation Domain"
"90","E07000199",2019,"Rank of average rank",NA,282,"h. Living Environment Deprivation Domain"
"91","E07000197",2019,"Rank of average rank",NA,223,"h. Living Environment Deprivation Domain"
"92","E07000202",2019,"Rank of average rank",NA,78,"h. Living Environment Deprivation Domain"
"93","E07000203",2019,"Rank of average rank",NA,119,"h. Living Environment Deprivation Domain"
"94","E07000200",2019,"Rank of average rank",NA,150,"h. Living Environment Deprivation Domain"
"95","E07000243",2019,"Rank of average rank",NA,268,"h. Living Environment Deprivation Domain"
"96","E07000193",2019,"Rank of average rank",NA,64,"h. Living Environment Deprivation Domain"
"97","E07000242",2019,"Rank of average rank",NA,281,"h. Living Environment Deprivation Domain"
"98","E07000195",2019,"Rank of average rank",NA,192,"h. Living Environment Deprivation Domain"
"99","E07000196",2019,"Rank of average rank",NA,165,"h. Living Environment Deprivation Domain"
"100","E07000194",2019,"Rank of average rank",NA,269,"h. Living Environment Deprivation Domain"
"101","E07000125",2019,"Rank of average rank",NA,65,"h. Living Environment Deprivation Domain"
"102","E07000126",2019,"Rank of average rank",NA,99,"h. Living Environment Deprivation Domain"
"103","E07000123",2019,"Rank of average rank",NA,39,"h. Living Environment Deprivation Domain"
"104","E07000124",2019,"Rank of average rank",NA,114,"h. Living Environment Deprivation Domain"
"105","E07000128",2019,"Rank of average rank",NA,152,"h. Living Environment Deprivation Domain"
"106","E07000129",2019,"Rank of average rank",NA,270,"h. Living Environment Deprivation Domain"
"107","E07000127",2019,"Rank of average rank",NA,233,"h. Living Environment Deprivation Domain"
"108","E07000118",2019,"Rank of average rank",NA,162,"h. Living Environment Deprivation Domain"
"109","E07000119",2019,"Rank of average rank",NA,163,"h. Living Environment Deprivation Domain"
"110","E07000117",2019,"Rank of average rank",NA,33,"h. Living Environment Deprivation Domain"
"111","E07000121",2019,"Rank of average rank",NA,49,"h. Living Environment Deprivation Domain"
"112","E07000122",2019,"Rank of average rank",NA,6,"h. Living Environment Deprivation Domain"
"113","E07000120",2019,"Rank of average rank",NA,20,"h. Living Environment Deprivation Domain"
"114","E07000137",2019,"Rank of average rank",NA,85,"h. Living Environment Deprivation Domain"
"115","E07000138",2019,"Rank of average rank",NA,219,"h. Living Environment Deprivation Domain"
"116","E07000136",2019,"Rank of average rank",NA,135,"h. Living Environment Deprivation Domain"
"117","E07000140",2019,"Rank of average rank",NA,228,"h. Living Environment Deprivation Domain"
"118","E07000141",2019,"Rank of average rank",NA,263,"h. Living Environment Deprivation Domain"
"119","E07000139",2019,"Rank of average rank",NA,265,"h. Living Environment Deprivation Domain"
"120","E07000131",2019,"Rank of average rank",NA,289,"h. Living Environment Deprivation Domain"
"121","E07000132",2019,"Rank of average rank",NA,236,"h. Living Environment Deprivation Domain"
"122","E07000130",2019,"Rank of average rank",NA,197,"h. Living Environment Deprivation Domain"
"123","E07000134",2019,"Rank of average rank",NA,274,"h. Living Environment Deprivation Domain"
"124","E07000135",2019,"Rank of average rank",NA,296,"h. Living Environment Deprivation Domain"
"125","E07000133",2019,"Rank of average rank",NA,177,"h. Living Environment Deprivation Domain"
"126","E07000096",2019,"Rank of average rank",NA,291,"h. Living Environment Deprivation Domain"
"127","E07000098",2019,"Rank of average rank",NA,245,"h. Living Environment Deprivation Domain"
"128","E07000094",2019,"Rank of average rank",NA,195,"h. Living Environment Deprivation Domain"
"129","E07000095",2019,"Rank of average rank",NA,212,"h. Living Environment Deprivation Domain"
"130","E07000102",2019,"Rank of average rank",NA,294,"h. Living Environment Deprivation Domain"
"131","E07000103",2019,"Rank of average rank",NA,109,"h. Living Environment Deprivation Domain"
"132","E07000099",2019,"Rank of average rank",NA,257,"h. Living Environment Deprivation Domain"
"133","E07000089",2019,"Rank of average rank",NA,305,"h. Living Environment Deprivation Domain"
"134","E07000090",2019,"Rank of average rank",NA,173,"h. Living Environment Deprivation Domain"
"135","E07000088",2019,"Rank of average rank",NA,115,"h. Living Environment Deprivation Domain"
"136","E07000092",2019,"Rank of average rank",NA,249,"h. Living Environment Deprivation Domain"
"137","E07000093",2019,"Rank of average rank",NA,203,"h. Living Environment Deprivation Domain"
"138","E07000091",2019,"Rank of average rank",NA,255,"h. Living Environment Deprivation Domain"
"139","E07000112",2019,"Rank of average rank",NA,159,"h. Living Environment Deprivation Domain"
"140","E07000113",2019,"Rank of average rank",NA,164,"h. Living Environment Deprivation Domain"
"141","E07000111",2019,"Rank of average rank",NA,189,"h. Living Environment Deprivation Domain"
"142","E07000115",2019,"Rank of average rank",NA,226,"h. Living Environment Deprivation Domain"
"143","E07000116",2019,"Rank of average rank",NA,158,"h. Living Environment Deprivation Domain"
"144","E07000114",2019,"Rank of average rank",NA,156,"h. Living Environment Deprivation Domain"
"145","E07000106",2019,"Rank of average rank",NA,277,"h. Living Environment Deprivation Domain"
"146","E07000107",2019,"Rank of average rank",NA,68,"h. Living Environment Deprivation Domain"
"147","E07000105",2019,"Rank of average rank",NA,231,"h. Living Environment Deprivation Domain"
"148","E07000109",2019,"Rank of average rank",NA,139,"h. Living Environment Deprivation Domain"
"149","E07000110",2019,"Rank of average rank",NA,125,"h. Living Environment Deprivation Domain"
"150","E07000108",2019,"Rank of average rank",NA,199,"h. Living Environment Deprivation Domain"
"151","E07000180",2019,"Rank of average rank",NA,264,"h. Living Environment Deprivation Domain"
"152","E07000181",2019,"Rank of average rank",NA,285,"h. Living Environment Deprivation Domain"
"153","E07000178",2019,"Rank of average rank",NA,62,"h. Living Environment Deprivation Domain"
"154","E07000179",2019,"Rank of average rank",NA,229,"h. Living Environment Deprivation Domain"
"155","E07000188",2019,"Rank of average rank",NA,61,"h. Living Environment Deprivation Domain"
"156","E07000189",2019,"Rank of average rank",NA,103,"h. Living Environment Deprivation Domain"
"157","E07000187",2019,"Rank of average rank",NA,174,"h. Living Environment Deprivation Domain"
"158","E07000173",2019,"Rank of average rank",NA,251,"h. Living Environment Deprivation Domain"
"159","E07000174",2019,"Rank of average rank",NA,260,"h. Living Environment Deprivation Domain"
"160","E07000172",2019,"Rank of average rank",NA,185,"h. Living Environment Deprivation Domain"
"161","E07000176",2019,"Rank of average rank",NA,273,"h. Living Environment Deprivation Domain"
"162","E07000177",2019,"Rank of average rank",NA,141,"h. Living Environment Deprivation Domain"
"163","E07000175",2019,"Rank of average rank",NA,198,"h. Living Environment Deprivation Domain"
"164","E06000032",2019,"Rank of average rank",NA,102,"h. Living Environment Deprivation Domain"
"165","E06000033",2019,"Rank of average rank",NA,181,"h. Living Environment Deprivation Domain"
"166","E07000009",2019,"Rank of average rank",NA,216,"h. Living Environment Deprivation Domain"
"167","E06000035",2019,"Rank of average rank",NA,84,"h. Living Environment Deprivation Domain"
"168","E06000036",2019,"Rank of average rank",NA,316,"h. Living Environment Deprivation Domain"
"169","E06000034",2019,"Rank of average rank",NA,191,"h. Living Environment Deprivation Domain"
"170","E07000004",2019,"Rank of average rank",NA,280,"h. Living Environment Deprivation Domain"
"171","E07000005",2019,"Rank of average rank",NA,308,"h. Living Environment Deprivation Domain"
"172","E07000192",2019,"Rank of average rank",NA,200,"h. Living Environment Deprivation Domain"
"173","E07000007",2019,"Rank of average rank",NA,287,"h. Living Environment Deprivation Domain"
"174","E07000008",2019,"Rank of average rank",NA,51,"h. Living Environment Deprivation Domain"
"175","E07000006",2019,"Rank of average rank",NA,237,"h. Living Environment Deprivation Domain"
"176","E07000149",2019,"Rank of average rank",NA,126,"h. Living Environment Deprivation Domain"
"177","E07000150",2019,"Rank of average rank",NA,297,"h. Living Environment Deprivation Domain"
"178","E07000148",2019,"Rank of average rank",NA,138,"h. Living Environment Deprivation Domain"
"179","E07000152",2019,"Rank of average rank",NA,241,"h. Living Environment Deprivation Domain"
"180","E07000153",2019,"Rank of average rank",NA,211,"h. Living Environment Deprivation Domain"
"181","E07000151",2019,"Rank of average rank",NA,213,"h. Living Environment Deprivation Domain"
"182","E07000143",2019,"Rank of average rank",NA,183,"h. Living Environment Deprivation Domain"
"183","E07000144",2019,"Rank of average rank",NA,206,"h. Living Environment Deprivation Domain"
"184","E07000142",2019,"Rank of average rank",NA,128,"h. Living Environment Deprivation Domain"
"185","E07000146",2019,"Rank of average rank",NA,111,"h. Living Environment Deprivation Domain"
"186","E07000147",2019,"Rank of average rank",NA,63,"h. Living Environment Deprivation Domain"
"187","E07000145",2019,"Rank of average rank",NA,101,"h. Living Environment Deprivation Domain"
"188","E07000167",2019,"Rank of average rank",NA,30,"h. Living Environment Deprivation Domain"
"189","E07000168",2019,"Rank of average rank",NA,77,"h. Living Environment Deprivation Domain"
"190","E07000166",2019,"Rank of average rank",NA,184,"h. Living Environment Deprivation Domain"
"191","E07000170",2019,"Rank of average rank",NA,276,"h. Living Environment Deprivation Domain"
"192","E07000171",2019,"Rank of average rank",NA,224,"h. Living Environment Deprivation Domain"
"193","E07000169",2019,"Rank of average rank",NA,209,"h. Living Environment Deprivation Domain"
"194","E07000155",2019,"Rank of average rank",NA,261,"h. Living Environment Deprivation Domain"
"195","E07000156",2019,"Rank of average rank",NA,234,"h. Living Environment Deprivation Domain"
"196","E07000154",2019,"Rank of average rank",NA,160,"h. Living Environment Deprivation Domain"
"197","E07000164",2019,"Rank of average rank",NA,130,"h. Living Environment Deprivation Domain"
"198","E07000165",2019,"Rank of average rank",NA,122,"h. Living Environment Deprivation Domain"
"199","E07000163",2019,"Rank of average rank",NA,28,"h. Living Environment Deprivation Domain"
"200","E07000111",2019,"Rank of average rank",NA,242,"i. Income Deprivation Affecting Children Index (IDACI)"
"201","E07000112",2019,"Rank of average rank",NA,66,"i. Income Deprivation Affecting Children Index (IDACI)"
"202","E07000109",2019,"Rank of average rank",NA,106,"i. Income Deprivation Affecting Children Index (IDACI)"
"203","E07000110",2019,"Rank of average rank",NA,178,"i. Income Deprivation Affecting Children Index (IDACI)"
"204","E07000114",2019,"Rank of average rank",NA,27,"i. Income Deprivation Affecting Children Index (IDACI)"
"205","E07000115",2019,"Rank of average rank",NA,227,"i. Income Deprivation Affecting Children Index (IDACI)"
"206","E07000113",2019,"Rank of average rank",NA,62,"i. Income Deprivation Affecting Children Index (IDACI)"
"207","E07000103",2019,"Rank of average rank",NA,209,"i. Income Deprivation Affecting Children Index (IDACI)"
"208","E07000105",2019,"Rank of average rank",NA,134,"i. Income Deprivation Affecting Children Index (IDACI)"
"209","E07000102",2019,"Rank of average rank",NA,266,"i. Income Deprivation Affecting Children Index (IDACI)"
"210","E07000107",2019,"Rank of average rank",NA,164,"i. Income Deprivation Affecting Children Index (IDACI)"
"211","E07000108",2019,"Rank of average rank",NA,74,"i. Income Deprivation Affecting Children Index (IDACI)"
"212","E07000106",2019,"Rank of average rank",NA,156,"i. Income Deprivation Affecting Children Index (IDACI)"
"213","E07000123",2019,"Rank of average rank",NA,76,"i. Income Deprivation Affecting Children Index (IDACI)"
"214","E07000124",2019,"Rank of average rank",NA,313,"i. Income Deprivation Affecting Children Index (IDACI)"
"215","E07000122",2019,"Rank of average rank",NA,82,"i. Income Deprivation Affecting Children Index (IDACI)"
"216","E07000126",2019,"Rank of average rank",NA,222,"i. Income Deprivation Affecting Children Index (IDACI)"
"217","E07000127",2019,"Rank of average rank",NA,155,"i. Income Deprivation Affecting Children Index (IDACI)"
"218","E07000125",2019,"Rank of average rank",NA,114,"i. Income Deprivation Affecting Children Index (IDACI)"
"219","E07000117",2019,"Rank of average rank",NA,16,"i. Income Deprivation Affecting Children Index (IDACI)"
"220","E07000118",2019,"Rank of average rank",NA,204,"i. Income Deprivation Affecting Children Index (IDACI)"
"221","E07000116",2019,"Rank of average rank",NA,272,"i. Income Deprivation Affecting Children Index (IDACI)"
"222","E07000120",2019,"Rank of average rank",NA,44,"i. Income Deprivation Affecting Children Index (IDACI)"
"223","E07000121",2019,"Rank of average rank",NA,123,"i. Income Deprivation Affecting Children Index (IDACI)"
"224","E07000119",2019,"Rank of average rank",NA,223,"i. Income Deprivation Affecting Children Index (IDACI)"
"225","E07000082",2019,"Rank of average rank",NA,256,"i. Income Deprivation Affecting Children Index (IDACI)"
"226","E07000083",2019,"Rank of average rank",NA,224,"i. Income Deprivation Affecting Children Index (IDACI)"
"227","E07000080",2019,"Rank of average rank",NA,165,"i. Income Deprivation Affecting Children Index (IDACI)"
"228","E07000081",2019,"Rank of average rank",NA,111,"i. Income Deprivation Affecting Children Index (IDACI)"
"229","E07000085",2019,"Rank of average rank",NA,288,"i. Income Deprivation Affecting Children Index (IDACI)"
"230","E07000086",2019,"Rank of average rank",NA,281,"i. Income Deprivation Affecting Children Index (IDACI)"
"231","E07000084",2019,"Rank of average rank",NA,258,"i. Income Deprivation Affecting Children Index (IDACI)"
"232","E07000075",2019,"Rank of average rank",NA,260,"i. Income Deprivation Affecting Children Index (IDACI)"
"233","E07000076",2019,"Rank of average rank",NA,30,"i. Income Deprivation Affecting Children Index (IDACI)"
"234","E07000074",2019,"Rank of average rank",NA,193,"i. Income Deprivation Affecting Children Index (IDACI)"
"235","E07000078",2019,"Rank of average rank",NA,213,"i. Income Deprivation Affecting Children Index (IDACI)"
"236","E07000079",2019,"Rank of average rank",NA,277,"i. Income Deprivation Affecting Children Index (IDACI)"
"237","E07000077",2019,"Rank of average rank",NA,306,"i. Income Deprivation Affecting Children Index (IDACI)"
"238","E07000094",2019,"Rank of average rank",NA,296,"i. Income Deprivation Affecting Children Index (IDACI)"
"239","E07000095",2019,"Rank of average rank",NA,125,"i. Income Deprivation Affecting Children Index (IDACI)"
"240","E07000093",2019,"Rank of average rank",NA,269,"i. Income Deprivation Affecting Children Index (IDACI)"
"241","E07000098",2019,"Rank of average rank",NA,233,"i. Income Deprivation Affecting Children Index (IDACI)"
"242","E07000099",2019,"Rank of average rank",NA,239,"i. Income Deprivation Affecting Children Index (IDACI)"
"243","E07000096",2019,"Rank of average rank",NA,211,"i. Income Deprivation Affecting Children Index (IDACI)"
"244","E07000088",2019,"Rank of average rank",NA,128,"i. Income Deprivation Affecting Children Index (IDACI)"
"245","E07000089",2019,"Rank of average rank",NA,316,"i. Income Deprivation Affecting Children Index (IDACI)"
"246","E07000087",2019,"Rank of average rank",NA,289,"i. Income Deprivation Affecting Children Index (IDACI)"
"247","E07000091",2019,"Rank of average rank",NA,226,"i. Income Deprivation Affecting Children Index (IDACI)"
"248","E07000092",2019,"Rank of average rank",NA,212,"i. Income Deprivation Affecting Children Index (IDACI)"
"249","E07000090",2019,"Rank of average rank",NA,87,"i. Income Deprivation Affecting Children Index (IDACI)"
"250","E07000166",2019,"Rank of average rank",NA,287,"i. Income Deprivation Affecting Children Index (IDACI)"
"251","E07000167",2019,"Rank of average rank",NA,218,"i. Income Deprivation Affecting Children Index (IDACI)"
"252","E07000164",2019,"Rank of average rank",NA,282,"i. Income Deprivation Affecting Children Index (IDACI)"
"253","E07000165",2019,"Rank of average rank",NA,302,"i. Income Deprivation Affecting Children Index (IDACI)"
"254","E07000169",2019,"Rank of average rank",NA,251,"i. Income Deprivation Affecting Children Index (IDACI)"
"255","E07000170",2019,"Rank of average rank",NA,37,"i. Income Deprivation Affecting Children Index (IDACI)"
"256","E07000168",2019,"Rank of average rank",NA,112,"i. Income Deprivation Affecting Children Index (IDACI)"
"257","E07000153",2019,"Rank of average rank",NA,148,"i. Income Deprivation Affecting Children Index (IDACI)"
"258","E07000154",2019,"Rank of average rank",NA,127,"i. Income Deprivation Affecting Children Index (IDACI)"
"259","E07000152",2019,"Rank of average rank",NA,232,"i. Income Deprivation Affecting Children Index (IDACI)"
"260","E07000156",2019,"Rank of average rank",NA,121,"i. Income Deprivation Affecting Children Index (IDACI)"
"261","E07000163",2019,"Rank of average rank",NA,300,"i. Income Deprivation Affecting Children Index (IDACI)"
"262","E07000155",2019,"Rank of average rank",NA,314,"i. Income Deprivation Affecting Children Index (IDACI)"
"263","E07000178",2019,"Rank of average rank",NA,138,"i. Income Deprivation Affecting Children Index (IDACI)"
"264","E07000179",2019,"Rank of average rank",NA,292,"i. Income Deprivation Affecting Children Index (IDACI)"
"265","E07000177",2019,"Rank of average rank",NA,244,"i. Income Deprivation Affecting Children Index (IDACI)"
"266","E07000181",2019,"Rank of average rank",NA,283,"i. Income Deprivation Affecting Children Index (IDACI)"
"267","E07000187",2019,"Rank of average rank",NA,189,"i. Income Deprivation Affecting Children Index (IDACI)"
"268","E07000180",2019,"Rank of average rank",NA,285,"i. Income Deprivation Affecting Children Index (IDACI)"
"269","E07000172",2019,"Rank of average rank",NA,187,"i. Income Deprivation Affecting Children Index (IDACI)"
"270","E07000173",2019,"Rank of average rank",NA,168,"i. Income Deprivation Affecting Children Index (IDACI)"
"271","E07000171",2019,"Rank of average rank",NA,130,"i. Income Deprivation Affecting Children Index (IDACI)"
"272","E07000175",2019,"Rank of average rank",NA,158,"i. Income Deprivation Affecting Children Index (IDACI)"
"273","E07000176",2019,"Rank of average rank",NA,310,"i. Income Deprivation Affecting Children Index (IDACI)"
"274","E07000174",2019,"Rank of average rank",NA,65,"i. Income Deprivation Affecting Children Index (IDACI)"
"275","E07000135",2019,"Rank of average rank",NA,205,"i. Income Deprivation Affecting Children Index (IDACI)"
"276","E07000136",2019,"Rank of average rank",NA,105,"i. Income Deprivation Affecting Children Index (IDACI)"
"277","E07000134",2019,"Rank of average rank",NA,199,"i. Income Deprivation Affecting Children Index (IDACI)"
"278","E07000138",2019,"Rank of average rank",NA,38,"i. Income Deprivation Affecting Children Index (IDACI)"
"279","E07000139",2019,"Rank of average rank",NA,248,"i. Income Deprivation Affecting Children Index (IDACI)"
"280","E07000137",2019,"Rank of average rank",NA,48,"i. Income Deprivation Affecting Children Index (IDACI)"
"281","E07000129",2019,"Rank of average rank",NA,263,"i. Income Deprivation Affecting Children Index (IDACI)"
"282","E07000130",2019,"Rank of average rank",NA,208,"i. Income Deprivation Affecting Children Index (IDACI)"
"283","E07000128",2019,"Rank of average rank",NA,144,"i. Income Deprivation Affecting Children Index (IDACI)"
"284","E07000132",2019,"Rank of average rank",NA,220,"i. Income Deprivation Affecting Children Index (IDACI)"
"285","E07000133",2019,"Rank of average rank",NA,236,"i. Income Deprivation Affecting Children Index (IDACI)"
"286","E07000131",2019,"Rank of average rank",NA,304,"i. Income Deprivation Affecting Children Index (IDACI)"
"287","E07000147",2019,"Rank of average rank",NA,143,"i. Income Deprivation Affecting Children Index (IDACI)"
"288","E07000148",2019,"Rank of average rank",NA,25,"i. Income Deprivation Affecting Children Index (IDACI)"
"289","E07000146",2019,"Rank of average rank",NA,122,"i. Income Deprivation Affecting Children Index (IDACI)"
"290","E07000150",2019,"Rank of average rank",NA,94,"i. Income Deprivation Affecting Children Index (IDACI)"
"291","E07000151",2019,"Rank of average rank",NA,253,"i. Income Deprivation Affecting Children Index (IDACI)"
"292","E07000149",2019,"Rank of average rank",NA,246,"i. Income Deprivation Affecting Children Index (IDACI)"
"293","E07000141",2019,"Rank of average rank",NA,192,"i. Income Deprivation Affecting Children Index (IDACI)"
"294","E07000142",2019,"Rank of average rank",NA,118,"i. Income Deprivation Affecting Children Index (IDACI)"
"295","E07000140",2019,"Rank of average rank",NA,137,"i. Income Deprivation Affecting Children Index (IDACI)"
"296","E07000144",2019,"Rank of average rank",NA,262,"i. Income Deprivation Affecting Children Index (IDACI)"
"297","E07000145",2019,"Rank of average rank",NA,26,"i. Income Deprivation Affecting Children Index (IDACI)"
"298","E07000143",2019,"Rank of average rank",NA,171,"i. Income Deprivation Affecting Children Index (IDACI)"
"299","E09000030",2019,"Rank of average rank",NA,1,"i. Income Deprivation Affecting Children Index (IDACI)"
"300","E09000031",2019,"Rank of average rank",NA,53,"i. Income Deprivation Affecting Children Index (IDACI)"
"301","E09000028",2019,"Rank of average rank",NA,18,"i. Income Deprivation Affecting Children Index (IDACI)"
"302","E09000029",2019,"Rank of average rank",NA,198,"i. Income Deprivation Affecting Children Index (IDACI)"
"303","E09000033",2019,"Rank of average rank",NA,113,"i. Income Deprivation Affecting Children Index (IDACI)"
"304","E08000037",2019,"Rank of average rank",NA,68,"i. Income Deprivation Affecting Children Index (IDACI)"
