GSSCode,Name,WIMDRank,
W01000361,Chirk South,925,
W01000362,Coedpoeth 1,415,
W01000363,Coedpoeth 2,1412,
W01000364,Coedpoeth 3,1128,
W01000365,Erddig,1229,
W01000366,Esclusham 1,700,
W01000367,Esclusham 2,1644,
W01000368,Garden Village,1796,
W01000369,Gresford East and West 1,1688,
W01000370,Gresford East and West 2,1683,
W01000371,Grosvenor 1,1056,
W01000372,Grosvenor 2,461,
W01000373,Gwenfro,357,
W01000374,Gwersyllt East and South 1,699,
W01000375,Gwersyllt East and South 2,1422,
W01000376,Gwersyllt East and South 3,1584,
W01000377,Gwersyllt North 1,1254,
W01000378,Gwersyllt North 2,316,
W01000379,Gwersyllt West 1,337,
W01000380,Gwersyllt West 2,1197,
W01000381,Hermitage 1,619,
W01000382,Hermitage 2,256,
W01000383,Holt 1,1418,
W01000384,Holt 2,1700,
W01000385,Johnstown 1,1716,
W01000386,Johnstown 2,658,
W01000387,Little Acton 1,1837,
W01000388,Little Acton 2,1466,
W01000389,Llangollen Rural,1331,
W01000390,Llay 1,1398,
W01000391,Llay 2,1241,
W01000392,Llay 3,395,
W01000393,Maesydre,778,
W01000394,Marchwiel 1,1602,
W01000395,Marchwiel 2,1124,
W01000396,Marford and Hoseley 1,1891,
W01000397,Marford and Hoseley 2,1904,
W01000398,Minera 1,1247,
W01000399,Minera 2,1680,
W01000400,New Broughton 1,1000,
W01000401,New Broughton 2,763,
W01000402,Offa,842,
W01000403,Overton 1,1531,
W01000404,Overton 2,1493,
W01000405,Pant,442,
W01000406,Penycae,317,
W01000407,Penycae and Ruabon South 1,1703,
W01000408,Penycae and Ruabon South 2,780,
W01000409,Plas Madoc,54,
W01000410,Ponciau 1,1185,
W01000411,Ponciau 2,514,
W01000412,Ponciau 3,1094,
W01000413,Queensway 1,3,
W01000414,Queensway 2,108,
W01000415,Rhosnesni 1,1554,
W01000416,Rhosnesni 2,1851,
W01000417,Rossett 1,1805,
W01000418,Rossett 2,1497,
W01000419,Ruabon 1,678,
W01000420,Ruabon 2,807,
W01000422,Stansty,1118,
W01000423,Whitegate 1,435,
W01000424,Whitegate 2,913,
W01000425,Wynnstay,52,
W01000426,Aber-craf,855,
W01000427,Beguildy,848,
W01000428,Berriew,1309,
W01000429,Blaen Hafren,1356,
W01000430,Bronllys,1255,
W01000431,Builth 1,1132,
W01000432,Builth 2,1801,
W01000433,Caersws,1137,
W01000434,Churchstoke,1248,
W01000438,Disserth and Trecoed,651,
W01000439,Dolforwyn,1502,
W01000440,Felin-fâch,1539,
W01000441,Forden,1594,
W01000442,Glantwymyn,1238,
W01000443,Glasbury,1472,
W01000444,Guilsfield,1513,
W01000445,Gwernyfed,1268,
W01000446,Hay,1461,
W01000447,Kerry,1380,
W01000448,Knighton 1,1228,
W01000449,Knighton 2,1159,
W01000450,Llanafanfawr,1458,
W01000451,Llanbadarn Fawr,1360,
W01000452,Llanbrynmair & Banwy,888,
W01000453,Llandinam,1368,
W01000454,Llandrindod East/Llandrindod West,444,
W01000455,Llandrindod North,1021,
W01000456,Llandrindod South,992,
W01000457,Llandrinio,1376,
W01000458,Llandysilio,1370,
W01000459,Llanelwedd,1262,
W01000460,Llanfair Caereinion,1163,
W01000461,Llanfyllin,947,
W01000464,Llangunllo,1296,
W01000465,Llangynidr,1526,
W01000466,Llanidloes 1,1525,
W01000467,Llanidloes 2,1517,
W01000470,Llansantffraid,1236,
W01000471,Llanwrtyd Wells,1053,
W01000472,Llanyre,1421,
W01000473,Machynlleth,1129,
W01000474,Maescar/Llywel,1186,
W01000475,Meifod & Llanfihangel,1249,
W01000476,Montgomery,1494,
W01000477,Nantmel,1222,
W01000478,Newtown Central 1,394,
W01000479,Newtown Central 2,537,
W01000480,Newtown East,469,
W01000481,Newtown Llanllwchaiarn North,1692,
W01000482,Newtown Llanllwchaiarn West,1552,
W01000483,Newtown South,318,
W01000484,Old Radnor,1323,
W01000485,Presteigne 1,1438,
W01000486,Presteigne 2,1211,
W01000487,Rhayader,1007,
W01000488,Rhiwcynon,1269,
W01000489,St. David Within,1073,
W01000492,St. Mary 1,1190,
W01000493,St. Mary 2,1705,
W01000494,Talgarth,1260,
W01000496,Tawe-Uchaf,1004,
W01000497,Trewern,1250,
W01000498,Welshpool Castle,296,
W01000499,Welshpool Gungrog 1,561,
W01000500,Welshpool Gungrog 2,1140,
W01000501,Welshpool Llanerchyddol,1172,
W01000502,Ynyscedwyn,965,
W01000503,Yscir,1488,
W01000504,Ystradgynlais 1,158,
W01000505,Ystradgynlais 2,813,
W01000506,Aberaeron,1413,
W01000507,Aberporth 1,1302,
W01000508,Aberporth 2,677,
W01000509,Aberteifi/Cardigan - Mwldan,962,
W01000510,Aberteifi/Cardigan - Rhyd-y-Fuwch,529,
W01000511,Aberteifi/Cardigan - Teifi,149,
W01000512,Aberystwyth Bronglais,1806,
W01000513,Aberystwyth Canol/Central,1303,
W01000515,Aberystwyth Penparcau 1,536,
W01000516,Aberystwyth Penparcau 2,591,
W01000517,Aberystwyth Rheidol 1,1348,
W01000518,Aberystwyth Rheidol 2,923,
W01000519,Beulah,1084,
W01000522,Capel Dewi,806,
W01000523,Ceulanamaesmawr,1311,
W01000524,Ciliau Aeron,1141,
W01000525,Faenor 1,1787,
W01000527,Lampeter 1,1591,
W01000528,Lampeter 2,881,
W01000529,Llanarth,826,
W01000531,Llandyfriog,847,
W01000532,Llandysiliogogo,1220,
W01000533,Llandysul Town,797,
W01000534,Llanfarian,1592,
W01000535,Llanfihangel Ystrad,820,
W01000536,Llangeitho,843,
W01000537,Llangybi,863,
W01000538,Llanrhystyd,1054,
W01000539,Llansantffraed 1,979,
W01000540,Llansantffraed 2,1131,
W01000541,Llanwenog,968,
W01000542,Lledrod,819,
W01000543,Melindwr,1001,
W01000544,New Quay,946,
W01000545,Penbryn,1218,
W01000546,Pen-parc 1,916,
W01000547,Pen-parc 2,1351,
W01000548,Tirymynach,1300,
W01000549,Trefeurig,1575,
W01000550,Tregaron,1107,
W01000551,Troedyraur,876,
W01000552,Ystwyth,1349,
W01000553,Amroth,1181,
W01000554,Burton,1420,
W01000555,Camrose 1,1419,
W01000556,Camrose 2,1307,
W01000557,Carew,1347,
W01000558,Cilgerran,1010,
W01000559,Clydau,970,
W01000560,Crymych 1,1112,
W01000561,Crymych 2,1156,
W01000562,Dinas Cross,1324,
W01000563,East Williamston 1,1100,
W01000564,East Williamston 2,1299,
W01000565,Fishguard North East,1147,
W01000566,Fishguard North West,769,
W01000567,Goodwick,834,
W01000568,Haverfordwest: Castle,488,
W01000569,Haverfordwest: Garth 1,1492,
W01000570,Haverfordwest: Garth 2,104,
W01000571,Haverfordwest: Portfield,1035,
W01000572,Haverfordwest: Prendergast,1201,
W01000573,Haverfordwest: Priory,1265,
W01000574,Hundleton,1103,
W01000575,Johnston,1020,
W01000576,Kilgetty/Begelly,951,
W01000577,Lampeter Velfrey,1365,
W01000578,Lamphey,1226,
W01000579,Letterston,1075,
W01000580,Llangwm,1423,
W01000581,Llanrhian,1165,
W01000582,Maenclochog 1,1043,
W01000583,Maenclochog 2,1288,
W01000584,Manorbier,1051,
W01000585,Martletwy,1301,
W01000586,Merlin's Bridge,597,
W01000587,Milford: Central,743,
W01000588,Milford: East,508,
W01000589,Milford: Hakin 1,654,
W01000590,Milford: Hakin 2,728,
W01000591,Milford: Hubberston 1,684,
W01000592,Milford: Hubberston 2,173,
W01000593,Milford: North,896,
W01000594,Milford: West,363,
W01000595,Narberth,1085,
W01000596,Narberth Rural,1407,
W01000597,Newport,1326,
W01000598,Neyland: East,1079,
W01000599,Neyland: West,856,
W01000600,Pembroke Dock: Central,201,
W01000601,Pembroke Dock: Llanion 1,67,
W01000602,Pembroke Dock: Llanion 2,707,
W01000603,Pembroke Dock: Market,703,
W01000604,Pembroke Dock: Pennar 1,487,
W01000605,Pembroke Dock: Pennar 2,714,
W01000606,Pembroke: Monkton,80,
W01000607,Pembroke: St. Mary North,411,
W01000608,Pembroke: St. Mary South,572,
W01000609,Pembroke: St. Michael,1457,
W01000610,Penally,1506,
W01000611,Rudbaxton,1530,
W01000612,St. David's,1121,
W01000613,St. Dogmaels,1109,
W01000614,St. Ishmael's,1019,
W01000615,Saundersfoot 1,1569,
W01000616,Saundersfoot 2,1384,
W01000617,Scleddau,816,
W01000618,Solva,1171,
W01000619,Tenby: North,1541,
W01000620,Tenby: South 1,1189,
W01000621,Tenby: South 2,772,
W01000622,The Havens,1359,
W01000623,Wiston,1273,
W01000624,Abergwili,1516,
W01000625,Ammanford 1,291,
W01000626,Ammanford 2,534,
W01000627,Betws,849,
W01000628,Bigyn 1,1015,
W01000629,Bigyn 2,859,
W01000630,Bigyn 3,967,
W01000631,Bigyn 4,124,
W01000632,Burry Port 1,796,
W01000633,Burry Port 2,479,
W01000634,Burry Port 3,1379,
W01000635,Bynea 1,1072,
W01000636,Bynea 2,673,
W01000637,Carmarthen Town North 1,644,
W01000638,Carmarthen Town North 2,266,
W01000639,Carmarthen Town North 3,1080,
W01000640,Carmarthen Town North 4,1761,
W01000641,Carmarthen Town South 1,464,
W01000642,Carmarthen Town South 2,1240,
W01000643,Carmarthen Town West 1,931,
W01000644,Carmarthen Town West 2,1476,
W01000645,Carmarthen Town West 3,1104,
W01000646,Cenarth,735,
W01000647,Cilycwm,996,
W01000648,Cynwyl Elfed 1,999,
W01000649,Cynwyl Elfed 2,1427,
W01000650,Cynwyl Gaeo,928,
W01000651,Dafen 1,1263,
W01000652,Dafen 2,672,
W01000653,Elli 1,1113,
W01000654,Elli 2,543,
W01000655,Felinfoel,475,
W01000656,Garnant,666,
W01000657,Glanamman 1,478,
W01000658,Glanamman 2,539,
W01000659,Glanymor 1,194,
W01000660,Glanymor 2,349,
W01000662,Glyn (Carmarthenshire),904,
W01000663,Gorslas 1,1352,
W01000664,Gorslas 2,1277,
W01000665,Hendy 1,1777,
W01000666,Hendy 2,1069,
W01000667,Hengoed (Carmarthenshire) 1,1098,
W01000670,Kidwelly 1,403,
W01000671,Kidwelly 2,1089,
W01000672,Laugharne Township 1,729,
W01000673,Laugharne Township 2,1096,
W01000674,Llanboidy,1030,
W01000675,Llanddarog,1280,
W01000676,Llandeilo 1,1416,
W01000677,Llandeilo 2,857,
W01000678,Llandovery 1,756,
W01000679,Llandovery 2,1243,
W01000680,Llandybie 1,1440,
W01000681,Llandybie 2,646,
W01000682,Llanegwad 1,1394,
W01000683,Llanegwad 2,726,
W01000684,Llanfihangel Aberbythych,1256,
W01000685,Llanfihangel-ar-Arth 1,766,
W01000686,Llanfihangel-ar-Arth 2,1317,
W01000687,Llangadog,960,
W01000688,Llangeler 1,578,
W01000689,Llangeler 2,1048,
W01000690,Llangennech 1,1325,
W01000691,Llangennech 2,1012,
W01000692,Llangennech 3,1210,
W01000693,Llangunnor 1,937,
W01000694,Llangunnor 2,1402,
W01000695,Llangyndeyrn 1,560,
W01000696,Llangyndeyrn 2,883,
W01000697,Llannon 1,693,
W01000698,Llannon 2,788,
W01000699,Llannon 3,1337,
W01000700,Llansteffan,1088,
W01000701,Llanybydder 1,1052,
W01000702,Llanybydder 2,736,
W01000703,Lliedi 1,609,
W01000704,Lliedi 2,1373,
W01000705,Lliedi 3,358,
W01000706,Llwynhendy 1,801,
W01000707,Llwynhendy 2,294,
W01000708,Llwynhendy 3,125,
W01000709,Manordeilo and Salem,1090,
W01000710,Pembrey 1,1637,
W01000711,Pembrey 2,400,
W01000712,Penygroes (Carmarthenshire) 1,1279,
W01000713,Penygroes (Carmarthenshire) 2,984,
W01000714,Pontamman 1,554,
W01000715,Pontamman 2,1521,
W01000716,Pontyberem 1,1143,
W01000717,Pontyberem 2,802,
W01000718,Quarter Bach 1,660,
W01000719,Quarter Bach 2,774,
W01000720,St. Clears 1,1127,
W01000721,St. Clears 2,1138,
W01000722,St. Ishmael 1,1545,
W01000723,St. Ishmael 2,837,
W01000724,Saron 1,694,
W01000725,Saron 2,899,
W01000726,Swiss Valley 1,1745,
W01000727,Swiss Valley 2,1363,
W01000728,Trelech,884,
W01000729,Trimsaran 1,320,
W01000730,Trimsaran 2,594,
W01000731,Tycroes,1198,
W01000732,Tyisha 1,505,
W01000733,Tyisha 2,55,
W01000734,Tyisha 3,187,
W01000735,Whitland,1191,
W01000736,Bishopston 1,1828,
W01000737,Bishopston 2,1681,
W01000738,Bonymaen 1,102,
W01000739,Bonymaen 2,331,
W01000740,Bonymaen 3,827,
W01000741,Bonymaen 4,380,
W01000742,Castle 1,33,
W01000744,Castle 3,292,
W01000745,Castle 4,356,
W01000746,Castle 5,762,
W01000747,Castle 6,891,
W01000749,Castle 8,614,
W01000750,Clydach 1,657,
W01000751,Clydach 2,1563,
W01000752,Clydach 3,325,
W01000753,Clydach 4,724,
W01000754,Clydach 5,759,
W01000755,Cockett 1,1037,
W01000756,Cockett 2,224,
W01000757,Cockett 3,906,
W01000758,Cockett 4,1195,
W01000759,Cockett 5,1430,
W01000760,Cockett 6,754,
W01000761,Cockett 7,791,
W01000762,Cockett 8,217,
W01000763,Cwmbwrla 1,939,
W01000764,Cwmbwrla 2,921,
W01000765,Cwmbwrla 3,818,
W01000766,Cwmbwrla 4,1294,
W01000767,Cwmbwrla 5,502,
W01000768,Dunvant 1,1558,
W01000769,Dunvant 2,1701,
W01000770,Dunvant 3,1820,
W01000771,Fairwood 2,1446,
W01000772,Fairwood 1,1639,
W01000773,Gorseinon 1,631,
W01000774,Gorseinon 2,998,
W01000775,Gower (Swansea) 1,1445,
W01000776,Gower (Swansea) 2,1538,
W01000777,Gowerton 1,1707,
W01000778,Gowerton 2,1648,
W01000779,Gowerton 3,1061,
W01000781,Killay North 2,1908,
W01000782,Killay South 1,1759,
W01000784,Kingsbridge 1,1321,
W01000785,Kingsbridge 2,1794,
W01000786,Kingsbridge 3,1601,
W01000787,Landore 1,585,
W01000788,Landore 2,302,
W01000789,Landore 3,234,
W01000790,Landore 4,271,
W01000791,Llangyfelach 1,1721,
W01000792,Llangyfelach 2,1720,
W01000793,Llangyfelach 3,1734,
W01000794,Llansamlet 1,882,
W01000795,Llansamlet 2,1651,
W01000796,Llansamlet 3,1388,
W01000797,Llansamlet 4,1397,
W01000798,Llansamlet 5,1160,
W01000799,Llansamlet 6,269,
W01000800,Llansamlet 7,1694,
W01000801,Llansamlet 8,207,
W01000802,Lower Loughor,793,
W01000803,Mawr,1036,
W01000804,Mayals 1,1873,
W01000805,Mayals 2,1883,
W01000806,Morriston 1,991,
W01000807,Morriston 2,1613,
W01000808,Morriston 3,1092,
W01000809,Morriston 4,695,
W01000810,Morriston 5,119,
W01000811,Morriston 6,336,
W01000812,Morriston 7,140,
W01000813,Morriston 8,1187,
W01000814,Morriston 9,116,
W01000815,Morriston 10,1579,
W01000816,Morriston 11,1577,
W01000817,Mynyddbach 1,43,
W01000818,Mynyddbach 2,332,
W01000819,Mynyddbach 3,1628,
W01000820,Mynyddbach 4,895,
W01000821,Mynyddbach 5,930,
W01000822,Mynyddbach 6,1261,
W01000823,Newton (Swansea) 1,1885,
W01000824,Newton (Swansea) 2,1784,
W01000825,Oystermouth 1,1666,
W01000826,Oystermouth 2,1670,
W01000827,Oystermouth 3,1879,
W01000828,Penclawdd 1,1560,
