FeatureCode,DateCode,Measurement,Units,Value,Indices of Deprivation
E07000075,2015,Rank of average rank,,115,"d. Education, Skills and Training Domain"
E07000076,2015,Rank of average rank,,14,"d. Education, Skills and Training Domain"
E07000108,2015,Rank of average rank,,96,"d. Education, Skills and Training Domain"
E07000109,2015,Rank of average rank,,71,"d. Education, Skills and Training Domain"
E07000117,2015,Rank of average rank,,29,"d. Education, Skills and Training Domain"
E07000118,2015,Rank of average rank,,245,"d. Education, Skills and Training Domain"
E08000005,2015,Rank of average rank,,141,h. Living Environment Deprivation Domain
E08000026,2015,Rank of average rank,,45,h. Living Environment Deprivation Domain
E08000027,2015,Rank of average rank,,110,h. Living Environment Deprivation Domain
E08000023,2015,Rank of average rank,,312,h. Living Environment Deprivation Domain
E08000021,2015,Rank of average rank,,243,h. Living Environment Deprivation Domain
E08000004,2015,Rank of average rank,,116,h. Living Environment Deprivation Domain
E08000031,2015,Rank of average rank,,74,h. Living Environment Deprivation Domain
E08000007,2015,Rank of average rank,,176,h. Living Environment Deprivation Domain
E08000006,2015,Rank of average rank,,100,h. Living Environment Deprivation Domain
E07000134,2015,Rank of average rank,,130,"d. Education, Skills and Training Domain"
E08000029,2015,Rank of average rank,,232,h. Living Environment Deprivation Domain
E08000022,2015,Rank of average rank,,293,h. Living Environment Deprivation Domain
E08000018,2015,Rank of average rank,,242,h. Living Environment Deprivation Domain
E07000112,2015,Rank of average rank,,172,h. Living Environment Deprivation Domain
E07000110,2015,Rank of average rank,,213,h. Living Environment Deprivation Domain
E08000019,2015,Rank of average rank,,132,h. Living Environment Deprivation Domain
E07000113,2015,Rank of average rank,,160,h. Living Environment Deprivation Domain
E07000129,2015,Rank of average rank,,170,"d. Education, Skills and Training Domain"
E07000130,2015,Rank of average rank,,194,"d. Education, Skills and Training Domain"
E07000127,2015,Rank of average rank,,212,"d. Education, Skills and Training Domain"
E07000128,2015,Rank of average rank,,205,"d. Education, Skills and Training Domain"
E07000135,2015,Rank of average rank,,178,"d. Education, Skills and Training Domain"
E07000133,2015,Rank of average rank,,220,"d. Education, Skills and Training Domain"
E07000132,2015,Rank of average rank,,153,"d. Education, Skills and Training Domain"
E07000139,2015,Rank of average rank,,255,"d. Education, Skills and Training Domain"
E07000120,2015,Rank of average rank,,60,"d. Education, Skills and Training Domain"
E07000124,2015,Rank of average rank,,316,"d. Education, Skills and Training Domain"
E08000030,2015,Rank of average rank,,109,h. Living Environment Deprivation Domain
E07000121,2015,Rank of average rank,,239,"d. Education, Skills and Training Domain"
E07000125,2015,Rank of average rank,,166,"d. Education, Skills and Training Domain"
E07000126,2015,Rank of average rank,,247,"d. Education, Skills and Training Domain"
E07000119,2015,Rank of average rank,,291,"d. Education, Skills and Training Domain"
E07000123,2015,Rank of average rank,,122,"d. Education, Skills and Training Domain"
E08000030,2015,Rank of average rank,,68,e. Health Deprivation and Disability Domain
E07000156,2015,Rank of average rank,,147,e. Health Deprivation and Disability Domain
E07000150,2015,Rank of average rank,,48,e. Health Deprivation and Disability Domain
E07000152,2015,Rank of average rank,,215,e. Health Deprivation and Disability Domain
E07000154,2015,Rank of average rank,,100,e. Health Deprivation and Disability Domain
E07000151,2015,Rank of average rank,,252,e. Health Deprivation and Disability Domain
E08000003,2015,Rank of average rank,,1,e. Health Deprivation and Disability Domain
E08000031,2015,Rank of average rank,,50,e. Health Deprivation and Disability Domain
E07000147,2015,Rank of average rank,,168,e. Health Deprivation and Disability Domain
E07000040,2015,Rank of average rank,,270,e. Health Deprivation and Disability Domain
E08000024,2015,Rank of average rank,,10,e. Health Deprivation and Disability Domain
E07000039,2015,Rank of average rank,,183,e. Health Deprivation and Disability Domain
E08000027,2015,Rank of average rank,,111,e. Health Deprivation and Disability Domain
E07000155,2015,Rank of average rank,,317,e. Health Deprivation and Disability Domain
E07000149,2015,Rank of average rank,,258,e. Health Deprivation and Disability Domain
E08000028,2015,Rank of average rank,,27,e. Health Deprivation and Disability Domain
E07000148,2015,Rank of average rank,,53,e. Health Deprivation and Disability Domain
E07000035,2015,Rank of average rank,,271,e. Health Deprivation and Disability Domain
E08000036,2015,Rank of average rank,,36,e. Health Deprivation and Disability Domain
E08000006,2015,Rank of average rank,,8,e. Health Deprivation and Disability Domain
E08000019,2015,Rank of average rank,,77,e. Health Deprivation and Disability Domain
E07000038,2015,Rank of average rank,,123,e. Health Deprivation and Disability Domain
E07000041,2015,Rank of average rank,,144,e. Health Deprivation and Disability Domain
E08000035,2015,Rank of average rank,,73,e. Health Deprivation and Disability Domain
E07000042,2015,Rank of average rank,,255,e. Health Deprivation and Disability Domain
E08000011,2015,Rank of average rank,,3,e. Health Deprivation and Disability Domain
E08000012,2015,Rank of average rank,,4,e. Health Deprivation and Disability Domain
E08000005,2015,Rank of average rank,,15,e. Health Deprivation and Disability Domain
E08000007,2015,Rank of average rank,,88,e. Health Deprivation and Disability Domain
E08000021,2015,Rank of average rank,,30,e. Health Deprivation and Disability Domain
E08000023,2015,Rank of average rank,,11,e. Health Deprivation and Disability Domain
E08000004,2015,Rank of average rank,,31,e. Health Deprivation and Disability Domain
E08000018,2015,Rank of average rank,,39,e. Health Deprivation and Disability Domain
E07000107,2015,Rank of average rank,,178,h. Living Environment Deprivation Domain
E07000109,2015,Rank of average rank,,148,h. Living Environment Deprivation Domain
E07000129,2015,Rank of average rank,,303,h. Living Environment Deprivation Domain
E07000125,2015,Rank of average rank,,66,h. Living Environment Deprivation Domain
E07000106,2015,Rank of average rank,,226,h. Living Environment Deprivation Domain
E07000126,2015,Rank of average rank,,144,h. Living Environment Deprivation Domain
E07000131,2015,Rank of average rank,,290,h. Living Environment Deprivation Domain
E07000132,2015,Rank of average rank,,262,h. Living Environment Deprivation Domain
E07000130,2015,Rank of average rank,,201,h. Living Environment Deprivation Domain
E07000072,2015,Rank of average rank,,141,"d. Education, Skills and Training Domain"
E08000028,2015,Rank of average rank,,39,h. Living Environment Deprivation Domain
E07000070,2015,Rank of average rank,,221,"d. Education, Skills and Training Domain"
E07000071,2015,Rank of average rank,,180,"d. Education, Skills and Training Domain"
E07000128,2015,Rank of average rank,,170,h. Living Environment Deprivation Domain
E07000127,2015,Rank of average rank,,253,h. Living Environment Deprivation Domain
E08000024,2015,Rank of average rank,,313,h. Living Environment Deprivation Domain
E08000025,2015,Rank of average rank,,16,h. Living Environment Deprivation Domain
E08000025,2015,Rank of average rank,,46,e. Health Deprivation and Disability Domain
E08000032,2015,Rank of average rank,,40,e. Health Deprivation and Disability Domain
E07000103,2015,Rank of average rank,,101,h. Living Environment Deprivation Domain
E07000105,2015,Rank of average rank,,237,h. Living Environment Deprivation Domain
E08000029,2015,Rank of average rank,,208,e. Health Deprivation and Disability Domain
E08000034,2015,Rank of average rank,,104,e. Health Deprivation and Disability Domain
E08000026,2015,Rank of average rank,,58,e. Health Deprivation and Disability Domain
E08000033,2015,Rank of average rank,,94,e. Health Deprivation and Disability Domain
E07000115,2015,Rank of average rank,,282,h. Living Environment Deprivation Domain
E07000111,2015,Rank of average rank,,247,h. Living Environment Deprivation Domain
E07000114,2015,Rank of average rank,,119,h. Living Environment Deprivation Domain
E07000117,2015,Rank of average rank,,42,h. Living Environment Deprivation Domain
E07000099,2015,Rank of average rank,,239,h. Living Environment Deprivation Domain
E07000108,2015,Rank of average rank,,173,h. Living Environment Deprivation Domain
E07000116,2015,Rank of average rank,,157,h. Living Environment Deprivation Domain
E07000102,2015,Rank of average rank,,306,h. Living Environment Deprivation Domain
E07000175,2015,Rank of average rank,,139,"d. Education, Skills and Training Domain"
E07000174,2015,Rank of average rank,,28,"d. Education, Skills and Training Domain"
E07000078,2015,Rank of average rank,,145,h. Living Environment Deprivation Domain
E07000118,2015,Rank of average rank,,131,h. Living Environment Deprivation Domain
E07000075,2015,Rank of average rank,,300,h. Living Environment Deprivation Domain
E07000077,2015,Rank of average rank,,233,h. Living Environment Deprivation Domain
E07000102,2015,Rank of average rank,,272,"d. Education, Skills and Training Domain"
E07000076,2015,Rank of average rank,,163,h. Living Environment Deprivation Domain
E07000122,2015,Rank of average rank,,18,h. Living Environment Deprivation Domain
E07000069,2015,Rank of average rank,,270,h. Living Environment Deprivation Domain
E07000123,2015,Rank of average rank,,61,h. Living Environment Deprivation Domain
E07000072,2015,Rank of average rank,,194,h. Living Environment Deprivation Domain
E07000068,2015,Rank of average rank,,301,h. Living Environment Deprivation Domain
E07000121,2015,Rank of average rank,,44,h. Living Environment Deprivation Domain
E07000120,2015,Rank of average rank,,27,h. Living Environment Deprivation Domain
E07000119,2015,Rank of average rank,,206,h. Living Environment Deprivation Domain
E07000124,2015,Rank of average rank,,113,h. Living Environment Deprivation Domain
E07000098,2015,Rank of average rank,,251,"d. Education, Skills and Training Domain"
E07000113,2015,Rank of average rank,,55,"d. Education, Skills and Training Domain"
E08000031,2015,Rank of average rank,,31,"d. Education, Skills and Training Domain"
E07000095,2015,Rank of average rank,,70,"d. Education, Skills and Training Domain"
E07000093,2015,Rank of average rank,,258,"d. Education, Skills and Training Domain"
E07000107,2015,Rank of average rank,,133,"d. Education, Skills and Training Domain"
E07000114,2015,Rank of average rank,,49,"d. Education, Skills and Training Domain"
E07000115,2015,Rank of average rank,,242,"d. Education, Skills and Training Domain"
E07000103,2015,Rank of average rank,,257,"d. Education, Skills and Training Domain"
E07000099,2015,Rank of average rank,,264,"d. Education, Skills and Training Domain"
E08000034,2015,Rank of average rank,,125,"d. Education, Skills and Training Domain"
E07000106,2015,Rank of average rank,,176,"d. Education, Skills and Training Domain"
E08000035,2015,Rank of average rank,,134,"d. Education, Skills and Training Domain"
E08000033,2015,Rank of average rank,,164,"d. Education, Skills and Training Domain"
E08000032,2015,Rank of average rank,,40,"d. Education, Skills and Training Domain"
E07000037,2015,Rank of average rank,,237,"d. Education, Skills and Training Domain"
E07000082,2015,Rank of average rank,,203,h. Living Environment Deprivation Domain
E07000071,2015,Rank of average rank,,227,h. Living Environment Deprivation Domain
E07000048,2015,Rank of average rank,,217,"d. Education, Skills and Training Domain"
E07000051,2015,Rank of average rank,,105,"d. Education, Skills and Training Domain"
E07000049,2015,Rank of average rank,,229,"d. Education, Skills and Training Domain"
E07000064,2015,Rank of average rank,,128,"d. Education, Skills and Training Domain"
E07000066,2015,Rank of average rank,,25,"d. Education, Skills and Training Domain"
E07000081,2015,Rank of average rank,,180,h. Living Environment Deprivation Domain
E07000047,2015,Rank of average rank,,240,"d. Education, Skills and Training Domain"
E07000234,2015,Rank of average rank,,234,h. Living Environment Deprivation Domain
E07000070,2015,Rank of average rank,,231,h. Living Environment Deprivation Domain
E07000237,2015,Rank of average rank,,107,h. Living Environment Deprivation Domain
E07000229,2015,Rank of average rank,,99,h. Living Environment Deprivation Domain
E07000046,2015,Rank of average rank,,61,"d. Education, Skills and Training Domain"
E07000041,2015,Rank of average rank,,193,"d. Education, Skills and Training Domain"
E07000080,2015,Rank of average rank,,124,h. Living Environment Deprivation Domain
E07000050,2015,Rank of average rank,,138,"d. Education, Skills and Training Domain"
E07000074,2015,Rank of average rank,,188,h. Living Environment Deprivation Domain
E07000171,2015,Rank of average rank,,78,"d. Education, Skills and Training Domain"
E07000043,2015,Rank of average rank,,107,"d. Education, Skills and Training Domain"
E07000079,2015,Rank of average rank,,171,h. Living Environment Deprivation Domain
E07000073,2015,Rank of average rank,,316,h. Living Environment Deprivation Domain
E08000001,2015,Rank of average rank,,38,e. Health Deprivation and Disability Domain
E07000172,2015,Rank of average rank,,218,"d. Education, Skills and Training Domain"
E07000173,2015,Rank of average rank,,198,"d. Education, Skills and Training Domain"
E07000069,2015,Rank of average rank,,32,"d. Education, Skills and Training Domain"
E07000044,2015,Rank of average rank,,297,"d. Education, Skills and Training Domain"
E07000067,2015,Rank of average rank,,102,"d. Education, Skills and Training Domain"
E07000068,2015,Rank of average rank,,259,"d. Education, Skills and Training Domain"
E07000065,2015,Rank of average rank,,233,"d. Education, Skills and Training Domain"
E07000045,2015,Rank of average rank,,226,"d. Education, Skills and Training Domain"
E07000042,2015,Rank of average rank,,144,"d. Education, Skills and Training Domain"
E07000040,2015,Rank of average rank,,231,"d. Education, Skills and Training Domain"
E07000168,2015,Rank of average rank,,94,"d. Education, Skills and Training Domain"
E07000167,2015,Rank of average rank,,161,"d. Education, Skills and Training Domain"
E07000169,2015,Rank of average rank,,187,"d. Education, Skills and Training Domain"
E07000165,2015,Rank of average rank,,299,"d. Education, Skills and Training Domain"
E07000166,2015,Rank of average rank,,152,"d. Education, Skills and Training Domain"
E07000088,2015,Rank of average rank,,76,h. Living Environment Deprivation Domain
E07000084,2015,Rank of average rank,,317,h. Living Environment Deprivation Domain
E07000170,2015,Rank of average rank,,13,"d. Education, Skills and Training Domain"
E07000087,2015,Rank of average rank,,189,h. Living Environment Deprivation Domain
E07000151,2015,Rank of average rank,,204,"d. Education, Skills and Training Domain"
E07000156,2015,Rank of average rank,,67,"d. Education, Skills and Training Domain"
E07000143,2015,Rank of average rank,,9,"d. Education, Skills and Training Domain"
E07000153,2015,Rank of average rank,,124,"d. Education, Skills and Training Domain"
E07000154,2015,Rank of average rank,,66,"d. Education, Skills and Training Domain"
E07000164,2015,Rank of average rank,,256,"d. Education, Skills and Training Domain"
E07000155,2015,Rank of average rank,,293,"d. Education, Skills and Training Domain"
E07000163,2015,Rank of average rank,,295,"d. Education, Skills and Training Domain"
E07000085,2015,Rank of average rank,,302,h. Living Environment Deprivation Domain
E07000083,2015,Rank of average rank,,230,h. Living Environment Deprivation Domain
E07000090,2015,Rank of average rank,,223,h. Living Environment Deprivation Domain
E07000086,2015,Rank of average rank,,229,h. Living Environment Deprivation Domain
E08000017,2015,Rank of average rank,,138,h. Living Environment Deprivation Domain
E08000016,2015,Rank of average rank,,259,h. Living Environment Deprivation Domain
E07000094,2015,Rank of average rank,,276,h. Living Environment Deprivation Domain
E07000095,2015,Rank of average rank,,222,h. Living Environment Deprivation Domain
E07000091,2015,Rank of average rank,,251,h. Living Environment Deprivation Domain
E07000150,2015,Rank of average rank,,19,"d. Education, Skills and Training Domain"
E07000089,2015,Rank of average rank,,325,h. Living Environment Deprivation Domain
E07000096,2015,Rank of average rank,,296,h. Living Environment Deprivation Domain
E07000093,2015,Rank of average rank,,284,h. Living Environment Deprivation Domain
E07000092,2015,Rank of average rank,,279,h. Living Environment Deprivation Domain
E07000098,2015,Rank of average rank,,269,h. Living Environment Deprivation Domain
E07000149,2015,Rank of average rank,,189,"d. Education, Skills and Training Domain"
E07000061,2015,Rank of average rank,,106,"d. Education, Skills and Training Domain"
E07000053,2015,Rank of average rank,,113,"d. Education, Skills and Training Domain"
E08000026,2015,Rank of average rank,,104,"d. Education, Skills and Training Domain"
E08000030,2015,Rank of average rank,,23,"d. Education, Skills and Training Domain"
E07000052,2015,Rank of average rank,,206,"d. Education, Skills and Training Domain"
E07000036,2015,Rank of average rank,,119,"d. Education, Skills and Training Domain"
E07000035,2015,Rank of average rank,,275,"d. Education, Skills and Training Domain"
E07000063,2015,Rank of average rank,,165,"d. Education, Skills and Training Domain"
E07000062,2015,Rank of average rank,,22,"d. Education, Skills and Training Domain"
E07000094,2015,Rank of average rank,,312,"d. Education, Skills and Training Domain"
E07000092,2015,Rank of average rank,,114,"d. Education, Skills and Training Domain"
E07000105,2015,Rank of average rank,,135,"d. Education, Skills and Training Domain"
E07000096,2015,Rank of average rank,,225,"d. Education, Skills and Training Domain"
E08000028,2015,Rank of average rank,,6,"d. Education, Skills and Training Domain"
E08000029,2015,Rank of average rank,,252,"d. Education, Skills and Training Domain"
E08000025,2015,Rank of average rank,,59,"d. Education, Skills and Training Domain"
E08000027,2015,Rank of average rank,,86,"d. Education, Skills and Training Domain"
E07000144,2015,Rank of average rank,,168,"d. Education, Skills and Training Domain"
E07000145,2015,Rank of average rank,,1,"d. Education, Skills and Training Domain"
E08000024,2015,Rank of average rank,,57,"d. Education, Skills and Training Domain"
E07000142,2015,Rank of average rank,,215,"d. Education, Skills and Training Domain"
E07000152,2015,Rank of average rank,,142,"d. Education, Skills and Training Domain"
E07000148,2015,Rank of average rank,,58,"d. Education, Skills and Training Domain"
E07000146,2015,Rank of average rank,,12,"d. Education, Skills and Training Domain"
E07000147,2015,Rank of average rank,,33,"d. Education, Skills and Training Domain"
E07000038,2015,Rank of average rank,,136,"d. Education, Skills and Training Domain"
E08000018,2015,Rank of average rank,,41,"d. Education, Skills and Training Domain"
E07000039,2015,Rank of average rank,,203,"d. Education, Skills and Training Domain"
E08000036,2015,Rank of average rank,,36,"d. Education, Skills and Training Domain"
E08000022,2015,Rank of average rank,,159,"d. Education, Skills and Training Domain"
E08000023,2015,Rank of average rank,,85,"d. Education, Skills and Training Domain"
E08000019,2015,Rank of average rank,,88,"d. Education, Skills and Training Domain"
E08000021,2015,Rank of average rank,,112,"d. Education, Skills and Training Domain"
E07000111,2015,Rank of average rank,,265,i. Income Deprivation Affecting Children Index (IDACI)
E07000095,2015,Rank of average rank,,108,i. Income Deprivation Affecting Children Index (IDACI)
E07000112,2015,Rank of average rank,,75,i. Income Deprivation Affecting Children Index (IDACI)
E07000110,2015,Rank of average rank,,189,i. Income Deprivation Affecting Children Index (IDACI)
E07000109,2015,Rank of average rank,,105,i. Income Deprivation Affecting Children Index (IDACI)
E08000024,2015,Rank of average rank,,41,i. Income Deprivation Affecting Children Index (IDACI)
E08000019,2015,Rank of average rank,,96,i. Income Deprivation Affecting Children Index (IDACI)
E08000023,2015,Rank of average rank,,29,i. Income Deprivation Affecting Children Index (IDACI)
E08000026,2015,Rank of average rank,,58,i. Income Deprivation Affecting Children Index (IDACI)
E07000105,2015,Rank of average rank,,149,i. Income Deprivation Affecting Children Index (IDACI)
E07000108,2015,Rank of average rank,,88,i. Income Deprivation Affecting Children Index (IDACI)
E07000135,2015,Rank of average rank,,201,e. Health Deprivation and Disability Domain
E07000128,2015,Rank of average rank,,76,e. Health Deprivation and Disability Domain
E08000017,2015,Rank of average rank,,54,i. Income Deprivation Affecting Children Index (IDACI)
E07000107,2015,Rank of average rank,,157,i. Income Deprivation Affecting Children Index (IDACI)
E07000106,2015,Rank of average rank,,170,i. Income Deprivation Affecting Children Index (IDACI)
E08000015,2015,Rank of average rank,,98,i. Income Deprivation Affecting Children Index (IDACI)
E07000127,2015,Rank of average rank,,171,i. Income Deprivation Affecting Children Index (IDACI)
E07000126,2015,Rank of average rank,,241,i. Income Deprivation Affecting Children Index (IDACI)
E07000125,2015,Rank of average rank,,126,i. Income Deprivation Affecting Children Index (IDACI)
E07000116,2015,Rank of average rank,,278,i. Income Deprivation Affecting Children Index (IDACI)
E07000118,2015,Rank of average rank,,213,i. Income Deprivation Affecting Children Index (IDACI)
E07000117,2015,Rank of average rank,,35,i. Income Deprivation Affecting Children Index (IDACI)
E07000124,2015,Rank of average rank,,325,i. Income Deprivation Affecting Children Index (IDACI)
E07000119,2015,Rank of average rank,,249,i. Income Deprivation Affecting Children Index (IDACI)
E08000012,2015,Rank of average rank,,14,i. Income Deprivation Affecting Children Index (IDACI)
E08000011,2015,Rank of average rank,,19,i. Income Deprivation Affecting Children Index (IDACI)
E08000018,2015,Rank of average rank,,70,i. Income Deprivation Affecting Children Index (IDACI)
E08000025,2015,Rank of average rank,,18,i. Income Deprivation Affecting Children Index (IDACI)
E08000014,2015,Rank of average rank,,115,i. Income Deprivation Affecting Children Index (IDACI)
E07000115,2015,Rank of average rank,,238,i. Income Deprivation Affecting Children Index (IDACI)
E08000016,2015,Rank of average rank,,52,i. Income Deprivation Affecting Children Index (IDACI)
E08000013,2015,Rank of average rank,,59,i. Income Deprivation Affecting Children Index (IDACI)
E07000120,2015,Rank of average rank,,7,e. Health Deprivation and Disability Domain
E07000118,2015,Rank of average rank,,79,e. Health Deprivation and Disability Domain
E07000124,2015,Rank of average rank,,218,e. Health Deprivation and Disability Domain
E07000123,2015,Rank of average rank,,23,e. Health Deprivation and Disability Domain
E07000116,2015,Rank of average rank,,281,e. Health Deprivation and Disability Domain
E07000096,2015,Rank of average rank,,253,e. Health Deprivation and Disability Domain
E07000105,2015,Rank of average rank,,235,e. Health Deprivation and Disability Domain
E07000117,2015,Rank of average rank,,6,e. Health Deprivation and Disability Domain
E07000103,2015,Rank of average rank,,167,e. Health Deprivation and Disability Domain
E08000003,2015,Rank of average rank,,1,a. Index of Multiple Deprivation (IMD)
E08000002,2015,Rank of average rank,,132,a. Index of Multiple Deprivation (IMD)
E07000049,2015,Rank of average rank,,308,e. Health Deprivation and Disability Domain
E07000050,2015,Rank of average rank,,262,e. Health Deprivation and Disability Domain
E07000126,2015,Rank of average rank,,137,e. Health Deprivation and Disability Domain
E07000122,2015,Rank of average rank,,24,e. Health Deprivation and Disability Domain
E07000125,2015,Rank of average rank,,45,e. Health Deprivation and Disability Domain
E07000121,2015,Rank of average rank,,62,e. Health Deprivation and Disability Domain
E07000136,2015,Rank of average rank,,93,e. Health Deprivation and Disability Domain
E07000119,2015,Rank of average rank,,109,e. Health Deprivation and Disability Domain
E07000132,2015,Rank of average rank,,254,e. Health Deprivation and Disability Domain
E07000134,2015,Rank of average rank,,185,e. Health Deprivation and Disability Domain
E07000129,2015,Rank of average rank,,246,e. Health Deprivation and Disability Domain
E07000131,2015,Rank of average rank,,286,e. Health Deprivation and Disability Domain
E07000133,2015,Rank of average rank,,273,e. Health Deprivation and Disability Domain
E07000127,2015,Rank of average rank,,81,e. Health Deprivation and Disability Domain
E07000099,2015,Rank of average rank,,245,e. Health Deprivation and Disability Domain
E07000091,2015,Rank of average rank,,256,e. Health Deprivation and Disability Domain
E07000098,2015,Rank of average rank,,207,e. Health Deprivation and Disability Domain
E07000130,2015,Rank of average rank,,220,e. Health Deprivation and Disability Domain
E07000102,2015,Rank of average rank,,274,e. Health Deprivation and Disability Domain
E07000092,2015,Rank of average rank,,148,e. Health Deprivation and Disability Domain
E07000093,2015,Rank of average rank,,288,e. Health Deprivation and Disability Domain
E07000095,2015,Rank of average rank,,241,e. Health Deprivation and Disability Domain
E07000108,2015,Rank of average rank,,110,f. Crime Domain
E07000111,2015,Rank of average rank,,103,f. Crime Domain
E07000110,2015,Rank of average rank,,147,f. Crime Domain
E07000106,2015,Rank of average rank,,153,f. Crime Domain
E07000107,2015,Rank of average rank,,33,f. Crime Domain
E07000113,2015,Rank of average rank,,45,f. Crime Domain
E07000116,2015,Rank of average rank,,209,f. Crime Domain
E07000117,2015,Rank of average rank,,25,f. Crime Domain
E07000118,2015,Rank of average rank,,168,f. Crime Domain
E08000029,2015,Rank of average rank,,197,i. Income Deprivation Affecting Children Index (IDACI)
E07000149,2015,Rank of average rank,,302,f. Crime Domain
E07000112,2015,Rank of average rank,,119,f. Crime Domain
E07000151,2015,Rank of average rank,,199,f. Crime Domain
E07000147,2015,Rank of average rank,,320,f. Crime Domain
E07000105,2015,Rank of average rank,,135,f. Crime Domain
E08000032,2015,Rank of average rank,,50,i. Income Deprivation Affecting Children Index (IDACI)
E07000148,2015,Rank of average rank,,75,f. Crime Domain
E07000140,2015,Rank of average rank,,258,f. Crime Domain
E07000142,2015,Rank of average rank,,260,f. Crime Domain
E07000063,2015,Rank of average rank,,242,f. Crime Domain
E07000065,2015,Rank of average rank,,313,f. Crime Domain
E07000137,2015,Rank of average rank,,235,f. Crime Domain
E07000050,2015,Rank of average rank,,254,i. Income Deprivation Affecting Children Index (IDACI)
E08000031,2015,Rank of average rank,,12,i. Income Deprivation Affecting Children Index (IDACI)
E07000154,2015,Rank of average rank,,63,f. Crime Domain
E07000146,2015,Rank of average rank,,274,f. Crime Domain
E07000141,2015,Rank of average rank,,280,f. Crime Domain
E07000115,2015,Rank of average rank,,185,f. Crime Domain
E07000145,2015,Rank of average rank,,175,f. Crime Domain
E07000143,2015,Rank of average rank,,268,f. Crime Domain
E07000062,2015,Rank of average rank,,52,f. Crime Domain
E07000144,2015,Rank of average rank,,324,f. Crime Domain
E07000135,2015,Rank of average rank,,203,f. Crime Domain
E07000099,2015,Rank of average rank,,228,i. Income Deprivation Affecting Children Index (IDACI)
E07000121,2015,Rank of average rank,,147,i. Income Deprivation Affecting Children Index (IDACI)
E07000122,2015,Rank of average rank,,94,i. Income Deprivation Affecting Children Index (IDACI)
E07000120,2015,Rank of average rank,,72,i. Income Deprivation Affecting Children Index (IDACI)
E07000123,2015,Rank of average rank,,100,i. Income Deprivation Affecting Children Index (IDACI)
E07000052,2015,Rank of average rank,,236,i. Income Deprivation Affecting Children Index (IDACI)
E07000048,2015,Rank of average rank,,196,i. Income Deprivation Affecting Children Index (IDACI)
E07000062,2015,Rank of average rank,,26,i. Income Deprivation Affecting Children Index (IDACI)
E07000061,2015,Rank of average rank,,97,i. Income Deprivation Affecting Children Index (IDACI)
E07000103,2015,Rank of average rank,,194,i. Income Deprivation Affecting Children Index (IDACI)
E07000102,2015,Rank of average rank,,253,i. Income Deprivation Affecting Children Index (IDACI)
E07000113,2015,Rank of average rank,,65,i. Income Deprivation Affecting Children Index (IDACI)
E07000114,2015,Rank of average rank,,31,i. Income Deprivation Affecting Children Index (IDACI)
E07000096,2015,Rank of average rank,,211,i. Income Deprivation Affecting Children Index (IDACI)
E07000094,2015,Rank of average rank,,314,i. Income Deprivation Affecting Children Index (IDACI)
E07000098,2015,Rank of average rank,,221,i. Income Deprivation Affecting Children Index (IDACI)
E07000093,2015,Rank of average rank,,283,i. Income Deprivation Affecting Children Index (IDACI)
E07000038,2015,Rank of average rank,,190,i. Income Deprivation Affecting Children Index (IDACI)
E07000037,2015,Rank of average rank,,215,i. Income Deprivation Affecting Children Index (IDACI)
E08000030,2015,Rank of average rank,,28,i. Income Deprivation Affecting Children Index (IDACI)
